noun;cardinality;type;id
focs;0;;
neus;0;;
vestimenz;0;;
custod;0;?;
terra;0;;
pavor;0;;
peddre;0;;
angel;0;ind;
femnes;0;ind;
loc;0;;
corps;0;rel-uniq;
redemptor;0;;
seindrae;0;;
munument;0;;
di;0;uniq;
vesprae;0;;
ser;0;;
castel;0;ind;
me;0;;
peds;0;;
laz;0;;
plages;0;;
carn;0;mass;
spiritus;0;;
Mel;0;;
veritad;0;;
peisons;0;;
mels;0;;
raizon;0;;
madre;0;;
dis;0;event;
semblanz;0;;
Signes;0;;
Lingues;0;;
veren;0;;
ver;0;;
malabdes;0;;
mans;0;;
sanitad;0;;
mont;0;;
man;0;;
nuvols;0;;
mal;0;;
jorn;0;;
fugs;0;;
mot;0;;
vertuz;0;;
Judeu;0;;
lengatges;0;;
virtuz;0;;
om;0;;
signes;0;;
podestad;0;;
gent;0;;
dol;0;abs;
afanz;0;ind;
cruz;0;ind;
espades;0;ind;
fog;0;;
gradilie;0;;
cap;0;rel-uniq;
pugnes;0;;
voluntez;0;;
part;0;;
fidels;0;;
finimunz;0;;
regnum;0;;
ben;0;mass;
mund;0;;
pechet;0;;
mercet;0;;
pechedors;0;;
raizons;0;;
pitad;0;;
graciae;0;;
paire;0;;
gloriae;0;;
