adieu;na;pas à considérer comme un subst;;
adis;ind;chacal;;
ADJ;?;;;
adjunction;event;;;
adjutorie;abs;;;
adjutur;ind;;;
administracion;abs;;;
administration;abs;;;
admiracion;abs;;;
admiral;rel-uniq;;;
admiraulx;rel-uniq;;;
adne;ind;âne;;
adnes;ind;;;
ádnes;ind;;;
adolé;ind;;;
adolesce~t;ind;;;
adolescence;abs;;;
adorateurs;ind;;;
ados;ind;;;
adrece;ind;;;
adrecement;abs;;;
adrecemenz;abs;;;
adreces;ind;;;
adreche;ind;;;
adrescement;event;;;
adresse;ind;;;
adub;ind;;;
adubez;ind;hommes d'armes;;
aduersaire;ind;;;
adulation;event;;;
adulations;event;;;
adulteire;event;;;
adulteires;event;;;
adultere;event;;;
adulterium;event;;;
adunat;?;;;
advantaige;abs;;;
adve~ture;event;;;
adve~ture;event;;;
advenant;abs;ce qui est convenable;;
advenemant;event;;;
advenement;event;;;
advènement;event;;;
advenir;abs;;;
adventaige;abs;;;
adventure;event;;;
adventures;event;;;
adventuriers;ind;;;
advenue;event;;;
advenue;event;;;
adversaire;ind;;;
adversaires;ind;;;
adversarie;abs;;;
adversárie;abs;;;
adversárie;abs;;;
adversaries;abs;;;
adversetéz;abs;;;
adversit+e;abs;;;
adversité;abs;;;
adversitét;abs;;;
adversitez;abs;;;
adversitez;abs;;;
adversitéz;abs;;;
advertance;event;;;
advertance;event;;;
advertissemens;event;;;
advertissement;event;;;
adveu;event;;;
advis;ind;;;
advisemens;event;;;
advisement;event;;;
advocas;ind;;;
advocat;ind;;;
advocatz;ind;;;
advys;ind;;;
aé;?;;;
aemplement;event;;;
aemplemenz;event;;;
aenime;rel-uniq;âme;;
aer;mass;;;
aesles;rel-uniq;ailes;;
aesmance;abs;;;
AETE;?;;;
Aetites;?;;;
aez;ind;;;
afaire;ind;;;
afáire;ind;;;
áfaire;ind;;;
áfáire;ind;;;
afaires;ind;;;
áfaires;ind;;;
afaitee;?;;;
afamét;abs;;;
afanz;ind;;;
afautreüre;ind;;;
afection;abs;;;
afeire;ind;;;
afeires;ind;;;
afeitiez;ind;;;
afere;ind;;;
afére;ind;;;
aferes;ind;;;
aféres;ind;;;
afermement;event;;;
áfermement;event;;;
affaire;ind;;;
affaires;ind;;;
affanz;ind;;;
affection;abs;;;
affections;abs;;;
affectiun;abs;;;
affeitement;event;;;
affere;ind;;;
afferes;ind;;;
affermemens;event;;;
affiction;abs;;;
affinitez;abs;;;
affins;event;apurement d'un compte;;
affit;abs;;;
afflictio~;abs;;;
affliction;abs;;;
afflictions;abs;;;
afflictions;abs;;;
afflictiun;abs;;;
afflictïun;abs;;;
afflictiuns;abs;;;
Afflictiuns;abs;;;
afflictiuns;abs;;;
affoiblissement;event;;;
affoleure;ind;blessure;;
afforains;ind;étranger;;
affres;mass;bétail, angoisse;;
affust;ind;support en bois, guet;;
affustz;ind;;;
afiches;ind;;;
afiez;?;;;
afinités;abs;;;
afliction;event;;;
aflictions;event;;;
afligée;ind;;;
afolé;?;;;
afolez;ind;;;
afublail;mass;;;
afubláil;mass;;;
afubler;mass;;;
afulement;event;;;
agaist;abs;vigilance;;
agait;abs;;;
agaiz;abs;;;
Agapis;abs;;;
Agathen;?;;;
agathen;?;;;
Agathes;ind;;;
age;rel-uniq;;;
âge;rel-uniq;;;
agesir;?;;;
agiez;ind;;;
agillettes;ind;outil;;
agillon;ind;aiguillon;;
agneau;ind;;;
agnel;ind;;;
agnels;ind;;;
agrace;abs;;;
agreies;abs;;;
agreuance;abs;;;
agreza;?;;;
aguait;abs;;;
aguece;abs;;;
aguet;abs;;;
aguetz;abs;;;
aguez;abs;;;
aguilectes;ind;;;
aguilenemenz;?;;;
aguilhon;ind;;;
aguilhons;ind;;;
aguille;ind;;;
aguilletes;ind;;;
aguillette;ind;;;
aguillettes;ind;;;
aguillion;ind;;;
aguillon;ind;;;
aguillun;ind;;;
aguilun;ind;;;
agulenemant;?;;;
agwait;abs;aguet;;
agyos;abs;;;
aháise;abs;;;
aháise;abs;;;
ahan;abs;;;
ahaneires;ind;;;
ahans;abs;;;
ahanz;abs;;;
Ahanz;abs;;;
ahé;abs;âge;;
ahers;ind;suiveurs;;
ahers;ind;;;
AI;abs;;;
ai;abs;;;
AÏ;abs;help;;
aia;event;;;
aidans;ind;;;
AIDE;abs;;;
aide;abs;;;
aïde;abs;help;;
aïde;abs;;;
aideres;ind;;;
aides;abs;;;
AIDES;abs;;;
aides;abs;;;
aïdes;abs;help;;
aïdes;abs;;;
aidieres;ind;;;
aidis;?;;;
AIE;abs;;;
aie;abs;;;
AÏE;abs;help;;
Aïe;abs;help;;
aïe;abs;help;;
aien;abs;;;
aiens;abs;;;
aies;abs;;;
aïes;abs;;;
aieul;rel-uniq;;;
aïeul;rel-uniq;;;
AIG;abs;;;
aige;abs;;;
aige;abs;;;
aiges;abs;;;
aigle;ind;;;
AIGLE;ind;;;
aiglë;ind;;;
aigles;ind;;;
aignaulx;ind;;;
Aigneals;ind;;;
aigneau;ind;;;
aigneaulx;ind;;;
aigneaus;ind;;;
aignel;ind;;;
aignelet;ind;;;
aignels;ind;;;
aigniaus;ind;;;
aigniax;ind;;;
aigreur;abs;;;
Aigue;mass;;;
aigue;mass;;;
aígue;mass;water;;
aigues;mass;;;
aillarde;ind;???;;
aïmant;ind;;;
aïmanz;ind;;;
aïmanz;ind;;;
aimes;ind;;;
ain;ind;;;
ainel;ind;;;
aines;rel-uniq;partie du corps;;
aingniax;ind;;;
ainnés;ind;;;
ainnet;ind;;;
ainrme;rel-uniq;;;
ainrmes;rel-uniq;;;
ainsné;ind;;;
ainsnee;ind;;;
ainsnez;ind;;;
aint;mass;ancre;;
ainte;mass;ancre;;
Ainxe;rel-uniq;;;
Ainxe;rel-uniq;;;
ainz;ind;;;
ainz=né;ind;;;
ainzné;ind;;;
ainznez;ind;;;
aioel;rel-uniq;;;
aioignement;event;;;
aiol;rel-uniq;;;
áíól;rel-uniq;;;
aiole;rel-uniq;;;
aiols;rel-uniq;;;
aiostament;?;;;
aiouz;rel-uniq;;;
air;mass;;;
aïr;abs;fierceness;;
aïr;abs;;;
AIRE;mass;;;
aire;mass;;;
aíre;ind;threshing floor;;
áire;ind;;;
áíre;ind;;;
airement;abs;colère;;
aïrement;abs;;;
aires;mass;;;
aireurs;ind;;;
airieie;ind;;;
airis;mass;;;
airs;mass;;;
ais;?;;;
aise;abs;;;
Aise;abs;;;
aisele;rel-uniq;aiselle;;
aiselle;rel-uniq;;;
aises;mass;;;
áises;mass;;;
aisil;mass;;;
aisne;ind;grain de raisin;;
aisné;rel-uniq;aîné;;
aisnee;abs;;;
aisnee;abs;;;
aisnes;abs;grain de raisin;;
aisse;?;;;
ait;?;;;
