noun;cardinality;type;textfile;id
noit;114;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,107.136
laz;113;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,115.244
madre;105;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,116.259
fidel;91;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,111.203
bons;88;mass;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,108.152
di;85;uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,108.156
noit;84;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,103.76
ladrun;83;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,109.161
mort;79;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,113.222
vide;78;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,109.164
mans;77;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,105.116
hom;73;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,96.8
om;73;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,118.281
munument;71;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,116.261
terra;69;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,114.242
fellon;68;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,107.131
fellun;67;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,110.182
ver;65;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,111.202
terra;64;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,99.39
mercet;62;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,113.221
mort;60;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,109.173
corps;60;rel-uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,116.258
carn;59;mass;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,118.283
rei;58;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,109.168
di;57;uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,113.223
regnum;56;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,122.339
carn;53;mass;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,115.246
mort;49;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,105.109
terra;48;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,96.6
di;47;uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,98.25
fidel;47;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,117.268
fidels;45;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,119.300
fidels;45;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,122.337
mort;44;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,103.78
bons;43;mass;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,102.70
felluns;40;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,114.232
om;40;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,121.335
vestiment;38;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,108.157
mort;37;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,108.145
mund;37;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,122.340
bons;34;mass;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,105.114
mans;33;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,121.323
ben;33;mass;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,123.357
escarn;32;abs;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,110.184
cruz;31;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,112.213
di;31;uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,118.286
